Phi	Theta	Y	x	y
0	-60	212.570 	0.302 	0.319 
0	-59	224.380 	0.301 	0.319 
0	-58	237.070 	0.301 	0.320 
0	-57	250.670 	0.300 	0.320 
0	-56	265.220 	0.300 	0.321 
0	-55	281.250 	0.300 	0.322 
0	-54	298.040 	0.301 	0.322 
0	-53	315.610 	0.301 	0.323 
0	-52	334.670 	0.301 	0.323 
0	-51	354.940 	0.302 	0.324 
0	-50	375.960 	0.303 	0.325 
0	-49	398.480 	0.304 	0.325 
0	-48	422.060 	0.304 	0.326 
0	-47	445.820 	0.305 	0.326 
0	-46	470.850 	0.306 	0.326 
0	-45	496.110 	0.307 	0.326 
0	-44	522.120 	0.307 	0.326 
0	-43	547.380 	0.307 	0.326 
0	-42	573.690 	0.308 	0.326 
0	-41	599.910 	0.308 	0.326 
0	-40	626.090 	0.308 	0.326 
0	-39	651.810 	0.308 	0.326 
0	-38	676.800 	0.308 	0.325 
0	-37	701.450 	0.308 	0.325 
0	-36	725.260 	0.308 	0.325 
0	-35	747.490 	0.308 	0.325 
0	-34	768.180 	0.308 	0.324 
0	-33	786.980 	0.308 	0.324 
0	-32	803.700 	0.308 	0.324 
0	-31	819.400 	0.308 	0.323 
0	-30	833.210 	0.308 	0.323 
0	-29	844.540 	0.307 	0.323 
0	-28	854.290 	0.307 	0.322 
0	-27	861.890 	0.307 	0.322 
0	-26	868.180 	0.307 	0.322 
0	-25	872.710 	0.307 	0.321 
0	-24	876.020 	0.307 	0.321 
0	-23	878.100 	0.307 	0.321 
0	-22	879.040 	0.307 	0.321 
0	-21	880.740 	0.307 	0.321 
0	-20	880.690 	0.307 	0.321 
0	-19	880.090 	0.307 	0.321 
0	-18	879.390 	0.308 	0.321 
0	-17	878.160 	0.308 	0.321 
0	-16	875.160 	0.308 	0.321 
0	-15	872.620 	0.308 	0.321 
0	-14	870.700 	0.308 	0.321 
0	-13	868.780 	0.308 	0.321 
0	-12	865.840 	0.309 	0.321 
0	-11	863.580 	0.309 	0.322 
0	-10	861.060 	0.309 	0.322 
0	-9	858.980 	0.309 	0.322 
0	-8	856.140 	0.309 	0.322 
0	-7	854.110 	0.309 	0.322 
0	-6	852.750 	0.309 	0.323 
0	-5	851.690 	0.309 	0.323 
0	-4	850.160 	0.310 	0.323 
0	-3	850.200 	0.310 	0.323 
0	-2	849.070 	0.310 	0.323 
0	-1	848.110 	0.310 	0.323 
0	0	848.320 	0.310 	0.323 
0	1	849.020 	0.310 	0.323 
0	2	849.520 	0.310 	0.323 
0	3	849.170 	0.310 	0.323 
0	4	850.250 	0.310 	0.323 
0	5	851.050 	0.310 	0.323 
0	6	852.770 	0.310 	0.323 
0	7	854.200 	0.310 	0.323 
0	8	855.730 	0.310 	0.322 
0	9	857.530 	0.309 	0.322 
0	10	860.100 	0.309 	0.322 
0	11	862.200 	0.309 	0.322 
0	12	864.410 	0.309 	0.322 
0	13	867.930 	0.309 	0.321 
0	14	870.700 	0.309 	0.321 
0	15	873.400 	0.309 	0.321 
0	16	875.540 	0.309 	0.321 
0	17	877.420 	0.309 	0.321 
0	18	879.290 	0.308 	0.321 
0	19	881.070 	0.308 	0.321 
0	20	881.340 	0.308 	0.321 
0	21	882.260 	0.308 	0.321 
0	22	882.370 	0.308 	0.321 
0	23	881.590 	0.308 	0.321 
0	24	880.160 	0.308 	0.321 
0	25	877.660 	0.308 	0.321 
0	26	873.460 	0.308 	0.322 
0	27	868.180 	0.308 	0.322 
0	28	862.080 	0.308 	0.322 
0	29	852.400 	0.308 	0.323 
0	30	841.300 	0.308 	0.323 
0	31	829.220 	0.308 	0.323 
0	32	813.960 	0.308 	0.324 
0	33	797.340 	0.308 	0.324 
0	34	778.680 	0.308 	0.324 
0	35	758.590 	0.307 	0.325 
0	36	737.020 	0.307 	0.325 
0	37	714.450 	0.307 	0.325 
0	38	691.060 	0.307 	0.326 
0	39	665.950 	0.306 	0.326 
0	40	640.390 	0.306 	0.327 
0	41	615.160 	0.306 	0.327 
0	42	589.240 	0.305 	0.327 
0	43	562.380 	0.305 	0.327 
0	44	536.670 	0.304 	0.328 
0	45	510.180 	0.303 	0.328 
0	46	484.780 	0.303 	0.328 
0	47	460.070 	0.302 	0.328 
0	48	435.570 	0.301 	0.328 
0	49	411.660 	0.300 	0.327 
0	50	389.190 	0.299 	0.327 
0	51	367.940 	0.299 	0.326 
0	52	347.610 	0.298 	0.326 
0	53	328.380 	0.298 	0.325 
0	54	309.950 	0.297 	0.325 
0	55	292.450 	0.297 	0.324 
0	56	276.490 	0.297 	0.323 
0	57	261.140 	0.298 	0.322 
0	58	247.000 	0.298 	0.322 
0	59	233.850 	0.299 	0.321 
0	60	221.610 	0.300 	0.321 
90	-60	2.200 	0.308 	0.306 
90	-59	2.300 	0.306 	0.307 
90	-58	2.410 	0.304 	0.308 
90	-57	2.530 	0.302 	0.309 
90	-56	2.690 	0.299 	0.309 
90	-55	2.870 	0.298 	0.309 
90	-54	3.070 	0.296 	0.309 
90	-53	3.300 	0.296 	0.309 
90	-52	3.560 	0.296 	0.309 
90	-51	3.880 	0.295 	0.309 
90	-50	4.260 	0.295 	0.309 
90	-49	4.720 	0.293 	0.308 
90	-48	5.290 	0.292 	0.307 
90	-47	5.950 	0.290 	0.306 
90	-46	6.710 	0.288 	0.305 
90	-45	7.550 	0.286 	0.306 
90	-44	8.380 	0.285 	0.307 
90	-43	9.160 	0.285 	0.307 
90	-42	9.750 	0.286 	0.305 
90	-41	10.060 	0.290 	0.303 
90	-40	10.020 	0.294 	0.301 
90	-39	9.730 	0.300 	0.300 
90	-38	9.340 	0.306 	0.299 
90	-37	9.040 	0.312 	0.300 
90	-36	9.020 	0.318 	0.302 
90	-35	9.320 	0.323 	0.305 
90	-34	9.960 	0.326 	0.308 
90	-33	10.870 	0.326 	0.309 
90	-32	11.980 	0.323 	0.310 
90	-31	13.240 	0.319 	0.307 
90	-30	14.610 	0.315 	0.306 
90	-29	16.130 	0.314 	0.306 
90	-28	17.960 	0.314 	0.309 
90	-27	20.620 	0.316 	0.315 
90	-26	25.160 	0.318 	0.321 
90	-25	33.960 	0.313 	0.320 
90	-24	50.880 	0.303 	0.311 
90	-23	79.090 	0.292 	0.301 
90	-22	121.900 	0.285 	0.294 
90	-21	176.680 	0.283 	0.294 
90	-20	237.990 	0.284 	0.297 
90	-19	295.420 	0.287 	0.302 
90	-18	343.810 	0.291 	0.306 
90	-17	382.830 	0.293 	0.309 
90	-16	416.510 	0.295 	0.309 
90	-15	448.890 	0.296 	0.309 
90	-14	481.340 	0.297 	0.309 
90	-13	512.220 	0.297 	0.310 
90	-12	541.610 	0.297 	0.309 
90	-11	570.520 	0.297 	0.308 
90	-10	602.530 	0.296 	0.307 
90	-9	642.280 	0.295 	0.306 
90	-8	689.630 	0.296 	0.306 
90	-7	737.130 	0.298 	0.309 
90	-6	777.150 	0.300 	0.313 
90	-5	805.710 	0.303 	0.316 
90	-4	823.440 	0.305 	0.318 
90	-3	832.910 	0.307 	0.320 
90	-2	839.930 	0.309 	0.322 
90	-1	844.390 	0.309 	0.323 
90	0	848.080 	0.310 	0.323 
90	1	849.080 	0.310 	0.323 
90	2	849.850 	0.310 	0.323 
90	3	850.030 	0.310 	0.323 
90	4	851.930 	0.310 	0.323 
90	5	853.110 	0.310 	0.323 
90	6	853.690 	0.309 	0.322 
90	7	854.760 	0.309 	0.321 
90	8	855.200 	0.307 	0.319 
90	9	851.380 	0.306 	0.318 
90	10	844.980 	0.304 	0.316 
90	11	833.370 	0.303 	0.314 
90	12	815.000 	0.301 	0.312 
90	13	790.930 	0.300 	0.311 
90	14	760.200 	0.299 	0.310 
90	15	724.890 	0.299 	0.309 
90	16	689.020 	0.299 	0.310 
90	17	653.700 	0.300 	0.310 
90	18	620.840 	0.300 	0.311 
90	19	586.850 	0.301 	0.313 
90	20	552.280 	0.302 	0.315 
90	21	516.110 	0.303 	0.318 
90	22	478.680 	0.304 	0.322 
90	23	440.270 	0.305 	0.325 
90	24	402.200 	0.305 	0.327 
90	25	362.580 	0.304 	0.326 
90	26	319.930 	0.302 	0.324 
90	27	271.590 	0.298 	0.319 
90	28	217.140 	0.296 	0.315 
90	29	160.710 	0.295 	0.312 
90	30	110.940 	0.298 	0.313 
90	31	72.760 	0.305 	0.319 
90	32	47.580 	0.316 	0.329 
90	33	32.760 	0.326 	0.338 
90	34	24.470 	0.331 	0.341 
90	35	19.710 	0.332 	0.339 
90	36	16.640 	0.331 	0.335 
90	37	14.500 	0.331 	0.331 
90	38	12.810 	0.331 	0.329 
90	39	11.430 	0.333 	0.327 
90	40	10.290 	0.334 	0.327 
90	41	9.300 	0.336 	0.326 
90	42	8.400 	0.338 	0.324 
90	43	7.580 	0.340 	0.324 
90	44	6.860 	0.341 	0.325 
90	45	6.240 	0.341 	0.327 
90	46	5.700 	0.340 	0.329 
90	47	5.220 	0.338 	0.331 
90	48	4.810 	0.337 	0.331 
90	49	4.470 	0.335 	0.331 
90	50	4.190 	0.331 	0.331 
90	51	3.940 	0.327 	0.331 
90	52	3.710 	0.324 	0.330 
90	53	3.510 	0.322 	0.328 
90	54	3.340 	0.322 	0.327 
90	55	3.170 	0.324 	0.325 
90	56	3.000 	0.325 	0.323 
90	57	2.840 	0.326 	0.321 
90	58	2.680 	0.327 	0.320 
90	59	2.560 	0.328 	0.320 
90	60	2.540 	0.328 	0.321 
45	-60	2.400 	0.329 	0.323 
45	-59	2.580 	0.332 	0.325 
45	-58	2.780 	0.332 	0.326 
45	-57	2.980 	0.332 	0.327 
45	-56	3.200 	0.332 	0.327 
45	-55	3.420 	0.330 	0.326 
45	-54	3.650 	0.329 	0.324 
45	-53	3.900 	0.329 	0.323 
45	-52	4.160 	0.330 	0.322 
45	-51	4.450 	0.332 	0.321 
45	-50	4.780 	0.333 	0.321 
45	-49	5.170 	0.333 	0.322 
45	-48	5.650 	0.333 	0.325 
45	-47	6.190 	0.332 	0.327 
45	-46	6.810 	0.329 	0.328 
45	-45	7.500 	0.326 	0.329 
45	-44	8.280 	0.323 	0.329 
45	-43	9.140 	0.320 	0.330 
45	-42	10.140 	0.317 	0.332 
45	-41	11.290 	0.315 	0.335 
45	-40	12.650 	0.313 	0.340 
45	-39	14.280 	0.312 	0.346 
45	-38	16.330 	0.312 	0.353 
45	-37	18.910 	0.312 	0.357 
45	-36	22.740 	0.312 	0.358 
45	-35	27.210 	0.311 	0.353 
45	-34	34.480 	0.307 	0.341 
45	-33	45.680 	0.301 	0.325 
45	-32	62.460 	0.294 	0.311 
45	-31	86.010 	0.289 	0.302 
45	-30	117.240 	0.285 	0.297 
45	-29	154.390 	0.284 	0.296 
45	-28	196.100 	0.285 	0.297 
45	-27	238.570 	0.287 	0.300 
45	-26	282.770 	0.289 	0.304 
45	-25	318.360 	0.291 	0.307 
45	-24	356.260 	0.293 	0.309 
45	-23	385.650 	0.294 	0.310 
45	-22	417.860 	0.295 	0.311 
45	-21	445.080 	0.296 	0.311 
45	-20	474.180 	0.296 	0.311 
45	-19	498.170 	0.297 	0.311 
45	-18	523.870 	0.297 	0.310 
45	-17	544.970 	0.297 	0.310 
45	-16	568.130 	0.296 	0.308 
45	-15	589.380 	0.296 	0.307 
45	-14	616.140 	0.295 	0.306 
45	-13	643.790 	0.295 	0.305 
45	-12	677.530 	0.295 	0.305 
45	-11	710.370 	0.296 	0.307 
45	-10	743.640 	0.297 	0.309 
45	-9	771.160 	0.299 	0.311 
45	-8	794.320 	0.301 	0.314 
45	-7	811.170 	0.303 	0.316 
45	-6	823.420 	0.305 	0.318 
45	-5	831.950 	0.306 	0.319 
45	-4	837.220 	0.307 	0.321 
45	-3	840.520 	0.308 	0.321 
